cohort,method,window_id,truth_rr,predicted_rr,truth_count,predicted_count
R2_complete216,original,jiufu_577eb87b4ec0fa_first30,28.0,32.0,14,16
R2_complete216,original,jiufu_ac7d209f2a6aec_first30,12.0,14.0,6,7
R2_complete216,original,jiufu_45e262858c1edf_first30,40.0,26.0,20,13
R2_complete216,original,jiufu_59f7f9462f2c30_first30,38.0,34.0,19,17
R2_complete216,original,jiufu_6454a9e613172b_first30,46.0,50.0,23,25
R2_complete216,original,jiufu_80fa8dbe195b66_first30,44.0,36.0,22,18
R2_complete216,original,jiufu_012d9efb7d8d4c_first30,38.0,20.0,19,10
R2_complete216,original,jiufu_5623dc263f1364_first30,24.0,28.0,12,14
R2_complete216,original,jiufu_8254fd394c755d_first30,28.0,24.0,14,12
R2_complete216,original,jiufu_33ff2c90bde0a7_first30,16.0,22.0,8,11
R2_complete216,original,jiufu_c37db5cf8c7d4e_first30,14.0,12.0,7,6
R2_complete216,original,jiufu_8ac17622997976_first30,20.0,20.0,10,10
R2_complete216,original,jiufu_ee2427b1f91c14_first30,28.0,28.0,14,14
R2_complete216,original,jiufu_d40d50640e24a1_first30,58.0,58.0,29,29
R2_complete216,original,jiufu_e20abde4e3a043_first30,42.0,36.0,21,18
R2_complete216,original,jiufu_fffa829b4cfc5f_first30,26.0,22.0,13,11
R2_complete216,original,jiufu_39742bec07007b_first30,40.0,20.0,20,10
R2_complete216,original,jiufu_a7f96cc7661e4a_first30,32.0,28.0,16,14
R2_complete216,original,jiufu_f5a7ada186a785_first30,26.0,36.0,13,18
R2_complete216,original,jiufu_8f2aab0fc1ae4b_first30,52.0,60.0,26,30
R2_complete216,original,jiufu_05aaedc28c6708_first30,18.0,22.0,9,11
R2_complete216,original,jiufu_0d1522aef374ec_first30,28.0,28.0,14,14
R2_complete216,original,jiufu_2cdb051142d5ab_first30,28.0,28.0,14,14
R2_complete216,original,jiufu_d4707a9c23271d_first30,28.0,28.0,14,14
R2_complete216,original,jiufu_2f0c90ece853b4_first30,34.0,34.0,17,17
R2_complete216,original,jiufu_57c74728570ec9_first30,40.0,36.0,20,18
R2_complete216,original,jiufu_2fc7ddf8f284e4_first30,38.0,36.0,19,18
R2_complete216,original,jiufu_a04e9f770a2bb9_first30,46.0,40.0,23,20
R2_complete216,original,jiufu_333df78fe49441_first30,28.0,30.0,14,15
R2_complete216,original,jiufu_4263d1ee2b7d38_first30,44.0,40.0,22,20
R2_complete216,original,jiufu_7cb985938d0a6a_first30,24.0,24.0,12,12
R2_complete216,original,jiufu_7c448f9ef64639_first30,30.0,32.0,15,16
R2_complete216,original,jiufu_bc495978774317_first30,20.0,26.0,10,13
R2_complete216,original,jiufu_e3cef2504bbb4a_first30,32.0,30.0,16,15
R2_complete216,original,jiufu_d7a117e86dae24_first30,30.0,30.0,15,15
R2_complete216,original,jiufu_f339ead1fdb0ac_first30,32.0,36.0,16,18
R2_complete216,original,jiufu_92e9f652faa64a_first30,50.0,36.0,25,18
R2_complete216,original,jiufu_fe09caa146ddbd_first30,28.0,26.0,14,13
R2_complete216,original,jiufu_f6c192eaf6c290_first30,26.0,16.0,13,8
R2_complete216,original,jiufu_42e874dae20aee_first30,18.0,14.0,9,7
R2_complete216,original,jiufu_b45e99f5e3803e_first30,44.0,46.0,22,23
R2_complete216,original,jiufu_fbbccb98b40ed8_first30,16.0,16.0,8,8
R2_complete216,original,jiufu_b7367092cbf12f_first30,36.0,24.0,18,12
R2_complete216,original,jiufu_fbaed9c05fdf1a_first30,24.0,38.0,12,19
R2_complete216,original,jiufu_09732493a874e4_first30,20.0,42.0,10,21
R2_complete216,original,jiufu_c2f523dbca4113_first30,32.0,32.0,16,16
R2_complete216,original,jiufu_19a4aa849045e9_first30,34.0,36.0,17,18
R2_complete216,original,jiufu_bfba3aa9a87b7c_first30,32.0,40.0,16,20
R2_complete216,original,jiufu_542013dcb78dc0_first30,26.0,32.0,13,16
R2_complete216,original,jiufu_596ccaaf7a001c_first30,30.0,28.0,15,14
R2_complete216,original,jiufu_9b4d8a24856a9f_first30,12.0,20.0,6,10
R2_complete216,original,jiufu_a1fad2b6534006_first30,36.0,24.0,18,12
R2_complete216,original,jiufu_4923eea2509695_first30,42.0,46.0,21,23
R2_complete216,original,jiufu_ff4c4ac565e3b0_first30,20.0,20.0,10,10
R2_complete216,original,jiufu_24afbde80aa2d4_first30,14.0,14.0,7,7
R2_complete216,original,jiufu_135fcf30e11031_first30,32.0,38.0,16,19
R2_complete216,original,jiufu_21792037472910_first30,12.0,14.0,6,7
R2_complete216,original,jiufu_fdc3b301cd9ef1_first30,12.0,12.0,6,6
R2_complete216,original,jiufu_b1efccc0572872_first30,18.0,22.0,9,11
R2_complete216,original,jiufu_cbf053d260a726_first30,34.0,24.0,17,12
R2_complete216,original,jiufu_b7a3631a4e36ce_first30,22.0,20.0,11,10
R2_complete216,original,jiufu_4cadeee3a7496f_first30,20.0,30.0,10,15
R2_complete216,original,jiufu_0bede2d3d6e2ef_first30,46.0,36.0,23,18
R2_complete216,original,jiufu_771e73351d8f0d_first30,60.0,50.0,30,25
R2_complete216,original,jiufu_ed4591eaed0b3f_first30,46.0,36.0,23,18
R2_complete216,original,jiufu_39c814598b6c9a_first30,36.0,30.0,18,15
R2_complete216,original,jiufu_72f9214b6e39c9_first30,10.0,18.0,5,9
R2_complete216,original,jiufu_44a8b44ef7ff55_first30,20.0,30.0,10,15
R2_complete216,original,jiufu_46aefc048b6969_first30,24.0,24.0,12,12
R2_complete216,original,jiufu_f19803e664a7cb_first30,24.0,24.0,12,12
R2_complete216,original,jiufu_ca838441c991bb_first30,42.0,42.0,21,21
R2_complete216,original,jiufu_366cb8600d5450_first30,18.0,18.0,9,9
R2_complete216,original,jiufu_a72be27aa4d574_first30,18.0,30.0,9,15
R2_complete216,original,jiufu_cc8f24e9070eb6_first30,20.0,20.0,10,10
R2_complete216,original,jiufu_658fffa214f378_first30,44.0,48.0,22,24
R2_complete216,original,jiufu_a005ae733f6503_first30,16.0,20.0,8,10
R2_complete216,original,jiufu_1f9c8c3925bc30_first30,28.0,28.0,14,14
R2_complete216,original,jiufu_2b9099fd06d9e1_first30,24.0,34.0,12,17
R2_complete216,original,jiufu_370ef65c280bd7_first30,30.0,34.0,15,17
R2_complete216,original,jiufu_931fb29cee6b4b_first30,28.0,18.0,14,9
R2_complete216,original,jiufu_b01f0755dc6a1f_first30,26.0,24.0,13,12
R2_complete216,original,jiufu_f242385ce55e15_first30,20.0,20.0,10,10
R2_complete216,original,jiufu_f920435ef76ec4_first30,16.0,16.0,8,8
R2_complete216,original,jiufu_7f52d294468aa5_first30,30.0,32.0,15,16
R2_complete216,original,jiufu_11acdc6d1c6ccc_first30,24.0,20.0,12,10
R2_complete216,original,jiufu_cc60214ff2d564_first30,24.0,20.0,12,10
R2_complete216,original,jiufu_f23fd2fe9eb848_first30,20.0,18.0,10,9
R2_complete216,original,jiufu_126bdac0bd036b_first30,24.0,24.0,12,12
R2_complete216,original,jiufu_c6e5a206ad0c30_first30,36.0,34.0,18,17
R2_complete216,original,jiufu_0f7af9c769fda5_first30,32.0,20.0,16,10
R2_complete216,original,jiufu_42402108cd09a9_first30,10.0,14.0,5,7
R2_complete216,original,jiufu_a97a8ff157139f_first30,22.0,22.0,11,11
R2_complete216,original,jiufu_a45d837f891e44_first30,16.0,14.0,8,7
R2_complete216,original,jiufu_3a993354ebd1c7_first30,46.0,34.0,23,17
R2_complete216,original,jiufu_13f838ff73e069_first30,6.0,10.0,3,5
R2_complete216,original,jiufu_7388b7efc8afb3_first30,28.0,26.0,14,13
R2_complete216,original,jiufu_2fdd36fbe9a8ce_first30,32.0,32.0,16,16
R2_complete216,original,jiufu_ef58cd171d4783_first30,30.0,28.0,15,14
R2_complete216,original,jiufu_dfa58f3a711e47_first30,14.0,20.0,7,10
R2_complete216,original,jiufu_a1ceaa6025ff79_first30,34.0,20.0,17,10
R2_complete216,original,jiufu_9a1c40cbb80bb1_first30,20.0,18.0,10,9
R2_complete216,original,jiufu_161f93bfffbe11_first30,20.0,18.0,10,9
R2_complete216,original,jiufu_014c9b6a274fed_first30,32.0,24.0,16,12
R2_complete216,original,jiufu_028724ccc9868d_first30,36.0,34.0,18,17
R2_complete216,original,jiufu_0c053f837a8b23_first30,28.0,34.0,14,17
R2_complete216,original,jiufu_8f6eabd7f2cb6e_first30,20.0,20.0,10,10
R2_complete216,original,jiufu_21b4c4c26061d0_first30,28.0,30.0,14,15
R2_complete216,original,jiufu_37333d1afc0ec2_first30,24.0,30.0,12,15
R2_complete216,original,jiufu_b273cec8024eb2_first30,26.0,26.0,13,13
R2_complete216,original,jiufu_d1a9a7ab944633_first30,34.0,24.0,17,12
R2_complete216,original,jiufu_908496549f5b42_first30,14.0,12.0,7,6
R2_complete216,original,jiufu_04fd6f8dc56a73_first30,22.0,20.0,11,10
R2_complete216,original,jiufu_440a29cebcae1c_first30,26.0,22.0,13,11
R2_complete216,original,jiufu_e2821e37ff899d_first30,26.0,36.0,13,18
R2_complete216,original,jiufu_b80d393ca25ef8_first30,8.0,10.0,4,5
R2_complete216,original,jiufu_adb9b6776eb349_first30,42.0,38.0,21,19
R2_complete216,original,jiufu_d837d576df8e43_first30,16.0,18.0,8,9
R2_complete216,original,jiufu_281bc808f4d3ff_first30,26.0,16.0,13,8
R2_complete216,original,jiufu_4206de92a27bce_first30,28.0,30.0,14,15
R2_complete216,original,jiufu_43743cb152c168_first30,30.0,26.0,15,13
R2_complete216,original,jiufu_d7498380edb383_first30,24.0,24.0,12,12
R2_complete216,original,jiufu_512d98136d6412_first30,28.0,28.0,14,14
R2_complete216,original,jiufu_1b1d8d9b6faec7_first30,28.0,20.0,14,10
R2_complete216,original,jiufu_1a11fc33fcb6cf_first30,28.0,28.0,14,14
R2_complete216,original,jiufu_993a2261c33ae0_first30,32.0,30.0,16,15
R2_complete216,original,jiufu_15023a4d62f18e_first30,48.0,48.0,24,24
R2_complete216,original,jiufu_bcea2687a6b788_first30,42.0,30.0,21,15
R2_complete216,original,jiufu_fe965ff4644d07_first30,28.0,28.0,14,14
R2_complete216,original,jiufu_f6bca344b2c8ce_first30,26.0,36.0,13,18
R2_complete216,original,jiufu_ce6ff507b22ee9_first30,22.0,38.0,11,19
R2_complete216,original,jiufu_075ed4d93c9959_first30,22.0,18.0,11,9
R2_complete216,original,jiufu_234cbf6b627421_first30,40.0,8.0,20,4
R2_complete216,original,jiufu_0f85cab7ac58ae_first30,32.0,28.0,16,14
R2_complete216,original,jiufu_55441b4c6fe974_first30,24.0,26.0,12,13
R2_complete216,original,jiufu_d074036ef96d31_first30,26.0,30.0,13,15
R2_complete216,original,jiufu_cdaa16888fda03_first30,18.0,18.0,9,9
R2_complete216,original,jiufu_b7ed63dc0d8295_first30,22.0,30.0,11,15
R2_complete216,original,jiufu_9ddfe0afe06424_first30,30.0,26.0,15,13
R2_complete216,center_support,jiufu_aed96a8cd6dde3_first30,22.0,18.0,11,9
R2_complete216,center_support,jiufu_d57a389e370ce5_first30,40.0,40.0,20,20
R2_complete216,center_support,jiufu_b79d91910dc17a_first30,26.0,16.0,13,8
R2_complete216,center_support,jiufu_8db6ed7f9c3ad8_first30,24.0,28.0,12,14
R2_complete216,center_support,jiufu_75a484b3f5253b_first30,14.0,18.0,7,9
R2_complete216,center_support,jiufu_35f0adf19ed368_first30,40.0,34.0,20,17
R2_complete216,center_support,jiufu_21e342957e0fd7_first30,48.0,40.0,24,20
R2_complete216,center_support,jiufu_c92bd308748a09_first30,34.0,28.0,17,14
R2_complete216,center_support,jiufu_551d99f2e9c264_first30,30.0,12.0,15,6
R2_complete216,center_support,jiufu_c95ae69597cc50_first30,26.0,20.0,13,10
R2_complete216,center_support,jiufu_94796ccea127be_first30,26.0,24.0,13,12
R2_complete216,center_support,jiufu_3ac83315834f77_first30,14.0,12.0,7,6
R2_complete216,center_support,jiufu_c68c62cb67dede_first30,20.0,22.0,10,11
R2_complete216,center_support,jiufu_3721f7cf5a844c_first30,12.0,8.0,6,4
R2_complete216,center_support,jiufu_65b745e540b8c7_first30,22.0,22.0,11,11
R2_complete216,center_support,jiufu_2e919f7b4ce7d4_first30,36.0,0.0,18,0
R2_complete216,center_support,jiufu_f7266533e3399d_first30,34.0,34.0,17,17
R2_complete216,center_support,jiufu_bd77cfa7950eaa_first30,30.0,22.0,15,11
R2_complete216,center_support,jiufu_90ed4ac916a295_first30,44.0,2.0,22,1
R2_complete216,center_support,jiufu_cd5eea76388f30_first30,28.0,14.0,14,7
R2_complete216,center_support,jiufu_6cbcb0311b3ebf_first30,28.0,28.0,14,14
R2_complete216,center_support,jiufu_6a641dd078f572_first30,40.0,30.0,20,15
R2_complete216,center_support,jiufu_edd9eebe6de991_first30,38.0,34.0,19,17
R2_complete216,center_support,jiufu_58c38973aff558_first30,20.0,18.0,10,9
R2_complete216,center_support,jiufu_665326590feedb_first30,32.0,6.0,16,3
R2_complete216,center_support,jiufu_124bf365605cd6_first30,34.0,16.0,17,8
R2_complete216,center_support,jiufu_cc565ea0bfa396_first30,30.0,18.0,15,9
R2_complete216,center_support,jiufu_0a14da4ad52431_first30,36.0,26.0,18,13
R2_complete216,center_support,jiufu_abada3dda3e8b7_first30,36.0,26.0,18,13
R2_complete216,center_support,jiufu_0ef3b83bc00130_first30,34.0,26.0,17,13
R2_complete216,center_support,jiufu_a6ed80c55f7be6_first30,6.0,10.0,3,5
R2_complete216,center_support,jiufu_6fa0bbd661c8bb_first30,38.0,22.0,19,11
R2_complete216,center_support,jiufu_9eb853207f9233_first30,26.0,26.0,13,13
R2_complete216,center_support,jiufu_494e84a71f0d53_first30,8.0,6.0,4,3
R2_complete216,center_support,jiufu_8953d49083882b_first30,48.0,40.0,24,20
R2_complete216,center_support,jiufu_577eb87b4ec0fa_first30,28.0,14.0,14,7
R2_complete216,center_support,jiufu_ac7d209f2a6aec_first30,12.0,14.0,6,7
R2_complete216,center_support,jiufu_45e262858c1edf_first30,40.0,20.0,20,10
R2_complete216,center_support,jiufu_59f7f9462f2c30_first30,38.0,28.0,19,14
R2_complete216,center_support,jiufu_6454a9e613172b_first30,46.0,38.0,23,19
R2_complete216,center_support,jiufu_80fa8dbe195b66_first30,44.0,32.0,22,16
R2_complete216,center_support,jiufu_012d9efb7d8d4c_first30,38.0,10.0,19,5
R2_complete216,center_support,jiufu_5623dc263f1364_first30,24.0,28.0,12,14
R2_complete216,center_support,jiufu_8254fd394c755d_first30,28.0,8.0,14,4
R2_complete216,center_support,jiufu_33ff2c90bde0a7_first30,16.0,16.0,8,8
R2_complete216,center_support,jiufu_c37db5cf8c7d4e_first30,14.0,8.0,7,4
R2_complete216,center_support,jiufu_8ac17622997976_first30,20.0,18.0,10,9
R2_complete216,center_support,jiufu_ee2427b1f91c14_first30,28.0,28.0,14,14
R2_complete216,center_support,jiufu_d40d50640e24a1_first30,58.0,58.0,29,29
R2_complete216,center_support,jiufu_e20abde4e3a043_first30,42.0,36.0,21,18
R2_complete216,center_support,jiufu_fffa829b4cfc5f_first30,26.0,22.0,13,11
R2_complete216,center_support,jiufu_39742bec07007b_first30,40.0,12.0,20,6
R2_complete216,center_support,jiufu_a7f96cc7661e4a_first30,32.0,24.0,16,12
R2_complete216,center_support,jiufu_f5a7ada186a785_first30,26.0,36.0,13,18
R2_complete216,center_support,jiufu_8f2aab0fc1ae4b_first30,52.0,58.0,26,29
R2_complete216,center_support,jiufu_05aaedc28c6708_first30,18.0,18.0,9,9
R2_complete216,center_support,jiufu_0d1522aef374ec_first30,28.0,28.0,14,14
R2_complete216,center_support,jiufu_2cdb051142d5ab_first30,28.0,26.0,14,13
R2_complete216,center_support,jiufu_d4707a9c23271d_first30,28.0,24.0,14,12
R2_complete216,center_support,jiufu_2f0c90ece853b4_first30,34.0,32.0,17,16
R2_complete216,center_support,jiufu_57c74728570ec9_first30,40.0,36.0,20,18
R2_complete216,center_support,jiufu_2fc7ddf8f284e4_first30,38.0,34.0,19,17
R2_complete216,center_support,jiufu_a04e9f770a2bb9_first30,46.0,38.0,23,19
R2_complete216,center_support,jiufu_333df78fe49441_first30,28.0,28.0,14,14
R2_complete216,center_support,jiufu_4263d1ee2b7d38_first30,44.0,40.0,22,20
R2_complete216,center_support,jiufu_7cb985938d0a6a_first30,24.0,24.0,12,12
R2_complete216,center_support,jiufu_7c448f9ef64639_first30,30.0,24.0,15,12
R2_complete216,center_support,jiufu_bc495978774317_first30,20.0,14.0,10,7
R2_complete216,center_support,jiufu_e3cef2504bbb4a_first30,32.0,12.0,16,6
R2_complete216,center_support,jiufu_d7a117e86dae24_first30,30.0,22.0,15,11
R2_complete216,center_support,jiufu_f339ead1fdb0ac_first30,32.0,36.0,16,18
R2_complete216,center_support,jiufu_92e9f652faa64a_first30,50.0,32.0,25,16
R2_complete216,center_support,jiufu_fe09caa146ddbd_first30,28.0,24.0,14,12
R2_complete216,center_support,jiufu_f6c192eaf6c290_first30,26.0,12.0,13,6
R2_complete216,center_support,jiufu_42e874dae20aee_first30,18.0,10.0,9,5
R2_complete216,center_support,jiufu_b45e99f5e3803e_first30,44.0,42.0,22,21
R2_complete216,center_support,jiufu_fbbccb98b40ed8_first30,16.0,8.0,8,4
R2_complete216,center_support,jiufu_b7367092cbf12f_first30,36.0,22.0,18,11
R2_complete216,center_support,jiufu_fbaed9c05fdf1a_first30,24.0,34.0,12,17
R2_complete216,center_support,jiufu_09732493a874e4_first30,20.0,34.0,10,17
R2_complete216,center_support,jiufu_c2f523dbca4113_first30,32.0,32.0,16,16
R2_complete216,center_support,jiufu_19a4aa849045e9_first30,34.0,36.0,17,18
R2_complete216,center_support,jiufu_bfba3aa9a87b7c_first30,32.0,38.0,16,19
R2_complete216,center_support,jiufu_542013dcb78dc0_first30,26.0,30.0,13,15
R2_complete216,center_support,jiufu_596ccaaf7a001c_first30,30.0,22.0,15,11
R2_complete216,center_support,jiufu_9b4d8a24856a9f_first30,12.0,18.0,6,9
R2_complete216,center_support,jiufu_a1fad2b6534006_first30,36.0,22.0,18,11
R2_complete216,center_support,jiufu_4923eea2509695_first30,42.0,28.0,21,14
R2_complete216,center_support,jiufu_ff4c4ac565e3b0_first30,20.0,12.0,10,6
R2_complete216,center_support,jiufu_24afbde80aa2d4_first30,14.0,14.0,7,7
R2_complete216,center_support,jiufu_135fcf30e11031_first30,32.0,36.0,16,18
R2_complete216,center_support,jiufu_21792037472910_first30,12.0,10.0,6,5
R2_complete216,center_support,jiufu_fdc3b301cd9ef1_first30,12.0,12.0,6,6
R2_complete216,center_support,jiufu_b1efccc0572872_first30,18.0,20.0,9,10
R2_complete216,center_support,jiufu_cbf053d260a726_first30,34.0,10.0,17,5
R2_complete216,center_support,jiufu_b7a3631a4e36ce_first30,22.0,8.0,11,4
R2_complete216,center_support,jiufu_4cadeee3a7496f_first30,20.0,24.0,10,12
R2_complete216,center_support,jiufu_0bede2d3d6e2ef_first30,46.0,34.0,23,17
R2_complete216,center_support,jiufu_771e73351d8f0d_first30,60.0,44.0,30,22
R2_complete216,center_support,jiufu_ed4591eaed0b3f_first30,46.0,32.0,23,16
R2_complete216,center_support,jiufu_39c814598b6c9a_first30,36.0,28.0,18,14
R2_complete216,center_support,jiufu_72f9214b6e39c9_first30,10.0,10.0,5,5
R2_complete216,center_support,jiufu_44a8b44ef7ff55_first30,20.0,28.0,10,14
R2_complete216,center_support,jiufu_46aefc048b6969_first30,24.0,24.0,12,12
R2_complete216,center_support,jiufu_f19803e664a7cb_first30,24.0,24.0,12,12
R2_complete216,center_support,jiufu_ca838441c991bb_first30,42.0,40.0,21,20
R2_complete216,center_support,jiufu_366cb8600d5450_first30,18.0,12.0,9,6
R2_complete216,center_support,jiufu_a72be27aa4d574_first30,18.0,30.0,9,15
R2_complete216,center_support,jiufu_cc8f24e9070eb6_first30,20.0,16.0,10,8
R2_complete216,center_support,jiufu_658fffa214f378_first30,44.0,48.0,22,24
R2_complete216,center_support,jiufu_a005ae733f6503_first30,16.0,12.0,8,6
R2_complete216,center_support,jiufu_1f9c8c3925bc30_first30,28.0,22.0,14,11
R2_complete216,center_support,jiufu_2b9099fd06d9e1_first30,24.0,18.0,12,9
R2_complete216,center_support,jiufu_370ef65c280bd7_first30,30.0,22.0,15,11
R2_complete216,center_support,jiufu_931fb29cee6b4b_first30,28.0,10.0,14,5
R2_complete216,center_support,jiufu_b01f0755dc6a1f_first30,26.0,18.0,13,9
R2_complete216,center_support,jiufu_f242385ce55e15_first30,20.0,20.0,10,10
R2_complete216,center_support,jiufu_f920435ef76ec4_first30,16.0,10.0,8,5
R2_complete216,center_support,jiufu_7f52d294468aa5_first30,30.0,26.0,15,13
R2_complete216,center_support,jiufu_11acdc6d1c6ccc_first30,24.0,18.0,12,9
R2_complete216,center_support,jiufu_cc60214ff2d564_first30,24.0,6.0,12,3
R2_complete216,center_support,jiufu_f23fd2fe9eb848_first30,20.0,16.0,10,8
R2_complete216,center_support,jiufu_126bdac0bd036b_first30,24.0,24.0,12,12
R2_complete216,center_support,jiufu_c6e5a206ad0c30_first30,36.0,32.0,18,16
R2_complete216,center_support,jiufu_0f7af9c769fda5_first30,32.0,16.0,16,8
R2_complete216,center_support,jiufu_42402108cd09a9_first30,10.0,12.0,5,6
R2_complete216,center_support,jiufu_a97a8ff157139f_first30,22.0,16.0,11,8
R2_complete216,center_support,jiufu_a45d837f891e44_first30,16.0,10.0,8,5
R2_complete216,center_support,jiufu_3a993354ebd1c7_first30,46.0,26.0,23,13
R2_complete216,center_support,jiufu_13f838ff73e069_first30,6.0,4.0,3,2
R2_complete216,center_support,jiufu_7388b7efc8afb3_first30,28.0,16.0,14,8
R2_complete216,center_support,jiufu_2fdd36fbe9a8ce_first30,32.0,30.0,16,15
R2_complete216,center_support,jiufu_ef58cd171d4783_first30,30.0,24.0,15,12
R2_complete216,center_support,jiufu_dfa58f3a711e47_first30,14.0,8.0,7,4
R2_complete216,center_support,jiufu_a1ceaa6025ff79_first30,34.0,14.0,17,7
R2_complete216,center_support,jiufu_9a1c40cbb80bb1_first30,20.0,18.0,10,9
R2_complete216,center_support,jiufu_161f93bfffbe11_first30,20.0,16.0,10,8
R2_complete216,center_support,jiufu_014c9b6a274fed_first30,32.0,12.0,16,6
R2_complete216,center_support,jiufu_028724ccc9868d_first30,36.0,22.0,18,11
R2_complete216,center_support,jiufu_0c053f837a8b23_first30,28.0,20.0,14,10
R2_complete216,center_support,jiufu_8f6eabd7f2cb6e_first30,20.0,16.0,10,8
R2_complete216,center_support,jiufu_21b4c4c26061d0_first30,28.0,24.0,14,12
R2_complete216,center_support,jiufu_37333d1afc0ec2_first30,24.0,22.0,12,11
R2_complete216,center_support,jiufu_b273cec8024eb2_first30,26.0,26.0,13,13
R2_complete216,center_support,jiufu_d1a9a7ab944633_first30,34.0,8.0,17,4
R2_complete216,center_support,jiufu_908496549f5b42_first30,14.0,10.0,7,5
R2_complete216,center_support,jiufu_04fd6f8dc56a73_first30,22.0,12.0,11,6
R2_complete216,center_support,jiufu_440a29cebcae1c_first30,26.0,18.0,13,9
R2_complete216,center_support,jiufu_e2821e37ff899d_first30,26.0,36.0,13,18
R2_complete216,center_support,jiufu_b80d393ca25ef8_first30,8.0,4.0,4,2
R2_complete216,center_support,jiufu_adb9b6776eb349_first30,42.0,34.0,21,17
R2_complete216,center_support,jiufu_d837d576df8e43_first30,16.0,14.0,8,7
R2_complete216,center_support,jiufu_281bc808f4d3ff_first30,26.0,14.0,13,7
R2_complete216,center_support,jiufu_4206de92a27bce_first30,28.0,30.0,14,15
R2_complete216,center_support,jiufu_43743cb152c168_first30,30.0,22.0,15,11
R2_complete216,center_support,jiufu_d7498380edb383_first30,24.0,4.0,12,2
R2_complete216,center_support,jiufu_512d98136d6412_first30,28.0,28.0,14,14
R2_complete216,center_support,jiufu_1b1d8d9b6faec7_first30,28.0,8.0,14,4
R2_complete216,center_support,jiufu_1a11fc33fcb6cf_first30,28.0,24.0,14,12
R2_complete216,center_support,jiufu_993a2261c33ae0_first30,32.0,26.0,16,13
R2_complete216,center_support,jiufu_15023a4d62f18e_first30,48.0,48.0,24,24
R2_complete216,center_support,jiufu_bcea2687a6b788_first30,42.0,8.0,21,4
R2_complete216,center_support,jiufu_fe965ff4644d07_first30,28.0,22.0,14,11
R2_complete216,center_support,jiufu_f6bca344b2c8ce_first30,26.0,36.0,13,18
R2_complete216,center_support,jiufu_ce6ff507b22ee9_first30,22.0,28.0,11,14
R2_complete216,center_support,jiufu_075ed4d93c9959_first30,22.0,10.0,11,5
R2_complete216,center_support,jiufu_234cbf6b627421_first30,40.0,4.0,20,2
R2_complete216,center_support,jiufu_0f85cab7ac58ae_first30,32.0,16.0,16,8
R2_complete216,center_support,jiufu_55441b4c6fe974_first30,24.0,14.0,12,7
R2_complete216,center_support,jiufu_d074036ef96d31_first30,26.0,22.0,13,11
R2_complete216,center_support,jiufu_cdaa16888fda03_first30,18.0,14.0,9,7
