window_id,video_id,video_path,source_path,source_start_seconds,duration_seconds,cohort,annotation_round,annotator,annotation_status,manual_breath_count,event_definition,predictions_hidden,reference_notes,prior_algorithm_exposure,browser_video_path,view_start_seconds,phase_basis,review_procedure
jiufu_13f838ff73e069_first30,R3-11,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094901-683.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094901-683.MP4,0,30,review24,R3,,pending,,expiration_peak,,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T094901-683.MP4,0,,paused_frame_review
ns211095_anchored_30s,R3-12,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\ns211095_anchored30s.mp4,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,233.21675960346963,30.01799876084263,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\ns211095_browser_lossless.mp4,0,,paused_frame_review
bs210974_anchored_30s,R3-13,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\bs210974_anchored30s.mp4,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080524n210974\20230807T080524n210974.MP4,81.89312659846547,30.03132992327366,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\bs210974_browser_lossless.mp4,0,,paused_frame_review
jiufu_4f7144680fca9d_first30,R3-14,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,0,30,review24,R3,,pending,,expiration_peak,,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,0,,paused_frame_review
zs170416_anchored_30s,R3-15,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\zs170416_anchored30s.mp4,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T103825n170416\20230806T103825n170416.MP4,0,30.046774193548387,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\zs170416_browser_lossless.mp4,0,,paused_frame_review
170272_anchored_30s,R3-16,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\170272_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,0,30.017849344978167,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\170272_browser_lossless.mp4,0,,paused_frame_review
211070_anchored_30s,R3-17,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\211070_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T171538n211070\20230805T171538n211070.MP4,17.14854570637119,29.952793167128345,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\211070_browser_lossless.mp4,0,,paused_frame_review
bs455_anchored_30s,R3-18,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\bs455_anchored30s.mp4,E:\real\use_code\林甸红外视频\0806\B3号舍病牛体温检测0806上午\20230806T092453n455\20230806T092453n455.MP4,127.66915217391303,30.0126397515528,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\bs455_browser_lossless.mp4,0,,paused_frame_review
16170075_anchored_30s,R3-19,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\16170075_anchored30s.mp4,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,205.75383084577115,30.05393034825871,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\16170075_browser_lossless.mp4,0,,paused_frame_review
ns196527_anchored_30s,R3-20,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\ns196527_anchored30s.mp4,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T073230n196527\20230807T073230n196527.MP4,2.742142857142857,30.04931547619048,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\ns196527_browser_lossless.mp4,0,,paused_frame_review
bs189556_anchored_30s,R3-21,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\bs189556_anchored30s.mp4,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T082122n189556风机影响大\20230807T082122n189556风机影响大.MP4,120.67707053140096,29.99621256038647,review24,R3,,pending,,expiration_peak,,,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\bs189556_browser_lossless.mp4,0,,paused_frame_review
jiufu_bd77cfa7950eaa_first30,R3-22,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,0,30,review24,R3,,pending,,expiration_peak,,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,0,,paused_frame_review
jiufu_cc60214ff2d564_first30,R3-23,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T091342-1308.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T091342-1308.MP4,0,30,review24,R3,,pending,,expiration_peak,,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0805\20240805T091342-1308.MP4,0,,paused_frame_review
jiufu_55441b4c6fe974_first30,R3-24,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0811\20240811T100355-1129.MP4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0811\20240811T100355-1129.MP4,0,30,review24,R3,,pending,,expiration_peak,,,not_reported_at_R1; must_reconfirm_R2,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0811\20240811T100355-1129.MP4,0,,paused_frame_review
