window_id,file_id,farm,source_path,source_session,start_seconds,duration_seconds,sampling_rule,sampled_fingerprint
jiufu_75a484b3f5253b_first30,jiufu_75a484b3f5253b,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092746-1425.MP4,20240729T092746_1425,0.0,30.0,first_30_seconds_predeclared_not_best_segment,e5529b9a8f3da5f967b891814ca7d05d5a9e72b6acb03c5b0ca9c14d674544f9
jiufu_35f0adf19ed368_first30,jiufu_35f0adf19ed368,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,20240729T092858_622,0.0,30.0,first_30_seconds_predeclared_not_best_segment,339dd0f9038ee86a57c20bc49e0a2eb87e1d91d605136fe6dc5c44ee9d3d09d1
jiufu_7045c3900be0cc_first30,jiufu_7045c3900be0cc,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T093120-921.MP4,20240729T093120_921,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5d8cbd967dc3970c973075ec5ec697f5776d6bec495939c28419ee2a3962fde4
jiufu_21e342957e0fd7_first30,jiufu_21e342957e0fd7,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094111-1420.MP4,20240729T094111_1420,0.0,30.0,first_30_seconds_predeclared_not_best_segment,f9a2945a882b3526c1515dd8f5ebef3a166a611ff0678b71a70e96c725390436
jiufu_36ee658c295629_first30,jiufu_36ee658c295629,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094529-1469.MP4,20240729T094529_1469,0.0,30.0,first_30_seconds_predeclared_not_best_segment,67be4a638aaf0fa77f53808d55f902c68dcf6a550fdab8f960263d6850d7f373
jiufu_c92bd308748a09_first30,jiufu_c92bd308748a09,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094758-A1021154.MP4,20240729T094758_A1021154,0.0,30.0,first_30_seconds_predeclared_not_best_segment,deba295f5be79daa2eb77a03e9b7fb8f2dfc9d3f7c49244a3c5419b7b29047a3
jiufu_551d99f2e9c264_first30,jiufu_551d99f2e9c264,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095041-1241.MP4,20240729T095041_1241,0.0,30.0,first_30_seconds_predeclared_not_best_segment,bd579c9339d22651bbdde245df03bd17b2e6c3caf777facf21a4f930d0d72883
jiufu_c95ae69597cc50_first30,jiufu_c95ae69597cc50,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,20240729T095351_1279,0.0,30.0,first_30_seconds_predeclared_not_best_segment,0888629eafddf99d4e2accd3d665ccab391d7e017baf6bc2c3747cbedbafc1dc
jiufu_94796ccea127be_first30,jiufu_94796ccea127be,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,20240729T095542_989,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5586da9f3aa05e73fe947ab6e4e88956d62982167ed0bdb409ac9dfb3586fc2c
jiufu_56e83ecf9a14bb_first30,jiufu_56e83ecf9a14bb,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095754-1574.MP4,20240729T095754_1574,0.0,30.0,first_30_seconds_predeclared_not_best_segment,d7ffe2f830462592213ac656a153d4205bc16dd974e5bae382fa8d07657b6fa1
jiufu_3cbd345626f05c_first30,jiufu_3cbd345626f05c,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100519-161.MP4,20240729T100519_161,0.0,30.0,first_30_seconds_predeclared_not_best_segment,376a9e10a810e819c31645c72d56636f557527736ac463f384f5ae11e73dcbd0
jiufu_3ac83315834f77_first30,jiufu_3ac83315834f77,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,20240729T100915_713,0.0,30.0,first_30_seconds_predeclared_not_best_segment,b4ce7f465eba8aadd1f95af9618ef89e9c3e1cee5e5c2d946880ed9018966b6e
jiufu_c68c62cb67dede_first30,jiufu_c68c62cb67dede,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,20240729T101454_623,0.0,30.0,first_30_seconds_predeclared_not_best_segment,76b0d3ea174f2a96670ec276a3922211e2df9c7377ea57852dab55015eb9f6c7
jiufu_3721f7cf5a844c_first30,jiufu_3721f7cf5a844c,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,20240729T101712_653,0.0,30.0,first_30_seconds_predeclared_not_best_segment,4367da0bf3cd89dd37a568dcb30932c3c7739ed2335303b6562aba02784dc159
jiufu_65b745e540b8c7_first30,jiufu_65b745e540b8c7,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,20240729T101932_281,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5fb77a7bb1bc756d24df7e0259d47f4e0f625701be400a4551180ff2d9febc79
jiufu_2e919f7b4ce7d4_first30,jiufu_2e919f7b4ce7d4,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,20240729T102206_353,0.0,30.0,first_30_seconds_predeclared_not_best_segment,08b22c4a60f24751a1723620c3dc2abeabdcf67953a070ea964221d051a67d0c
jiufu_f7266533e3399d_first30,jiufu_f7266533e3399d,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,20240729T102521_558,0.0,30.0,first_30_seconds_predeclared_not_best_segment,e0ce22db6f0067fe28d40368f379ede35a71cf9d012c7d4c6577f4c5927394ab
jiufu_943fc8675c704c_first30,jiufu_943fc8675c704c,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102849-347.MP4,20240729T102849_347,0.0,30.0,first_30_seconds_predeclared_not_best_segment,51198bf7ffb8e9da474bc20b0e0eb0583aba94fa9d2f482b820f0864555715fe
jiufu_bd77cfa7950eaa_first30,jiufu_bd77cfa7950eaa,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,20240729T133223_743,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5db9b0c726445a6c114608da90572da9e8e5153ed5acdb7fb7956475ad1d369d
jiufu_2aaced556ff39d_first30,jiufu_2aaced556ff39d,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133413-957.MP4,20240729T133413_957,0.0,30.0,first_30_seconds_predeclared_not_best_segment,73f633d0358557bdac58f9b45fc6beb509ca9cc5beb0e7bc26ce2daa5963b3f4
jiufu_90ed4ac916a295_first30,jiufu_90ed4ac916a295,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,20240729T133635_179,0.0,30.0,first_30_seconds_predeclared_not_best_segment,e22f7eea11b3315385a03a20935113c944e97541a7575fde5944a42447348c2e
jiufu_cd5eea76388f30_first30,jiufu_cd5eea76388f30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,20240729T133817_728,0.0,30.0,first_30_seconds_predeclared_not_best_segment,4c22af25bec07e4d5bbf6c348534b4df8bd39d56844b0ec237476562133ca6af
jiufu_6cbcb0311b3ebf_first30,jiufu_6cbcb0311b3ebf,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,20240729T134035_956,0.0,30.0,first_30_seconds_predeclared_not_best_segment,3880961cc4164aaf4fdf284ffd171d926ac9021f360f4d3500e2ba6a6d3adbea
jiufu_4f7144680fca9d_first30,jiufu_4f7144680fca9d,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,20240729T134435_583,0.0,30.0,first_30_seconds_predeclared_not_best_segment,a875a8dccfa2efc501d9d43705bcce3d14ba03115d70bd52985fd1ac59c8743c
jiufu_6a641dd078f572_first30,jiufu_6a641dd078f572,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,20240729T134713_753,0.0,30.0,first_30_seconds_predeclared_not_best_segment,d7e47ffd1e2dd2281ce184d25c63071f54640dc8a1951c32deca0e371d60d536
jiufu_edd9eebe6de991_first30,jiufu_edd9eebe6de991,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,20240729T134930_943,0.0,30.0,first_30_seconds_predeclared_not_best_segment,0fe2cb182b7687f84769574ce08a30c6393d51bf8d1edf9de09b54e1c11647b5
jiufu_58c38973aff558_first30,jiufu_58c38973aff558,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,20240729T135104_771,0.0,30.0,first_30_seconds_predeclared_not_best_segment,79c1743fdff451ba89a57a496135202edcc90b5e17f5282fc7d37fbb3522f5df
jiufu_665326590feedb_first30,jiufu_665326590feedb,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,20240729T135221_447,0.0,30.0,first_30_seconds_predeclared_not_best_segment,e6107544163c8feb5b6542c9db6a57dd1b537481659668ce58556b2a30e6f8d7
jiufu_053d6bd561c20b_first30,jiufu_053d6bd561c20b,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135554-1838.MP4,20240729T135554_1838,0.0,30.0,first_30_seconds_predeclared_not_best_segment,4e1e25d1bf6f09fdc5a249d82825b5dd9581a3ab46017a26e45b5095e5a349c8
jiufu_9a14e05c1c184c_first30,jiufu_9a14e05c1c184c,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135926-728.MP4,20240729T135926_728,0.0,30.0,first_30_seconds_predeclared_not_best_segment,7a45137921ab789e67c4bbfceefb7f1b6dcff91a93284e819b082bb322f53a32
jiufu_124bf365605cd6_first30,jiufu_124bf365605cd6,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,20240729T140349_1299,0.0,30.0,first_30_seconds_predeclared_not_best_segment,53a2fdc3768d5c97d4ad14b19a402b623502e362ca8fc37f0191ba319346e3c4
jiufu_cc565ea0bfa396_first30,jiufu_cc565ea0bfa396,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,20240729T140619_1246,0.0,30.0,first_30_seconds_predeclared_not_best_segment,fa31a9f5106ac500d6b7dae592807bcdce624aca6ca05b946ee0fb46403f610e
jiufu_0a14da4ad52431_first30,jiufu_0a14da4ad52431,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,20240729T142101_1134,0.0,30.0,first_30_seconds_predeclared_not_best_segment,8a2edd79722a3371f9445435ff8b61dca35d609132cfcf236e598ae98858e668
jiufu_abada3dda3e8b7_first30,jiufu_abada3dda3e8b7,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,20240729T080938_846,0.0,30.0,first_30_seconds_predeclared_not_best_segment,b66be937b2441309e983ad07adc83aeed9de2c74938baade2901738d11208c59
jiufu_0ef3b83bc00130_first30,jiufu_0ef3b83bc00130,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081221-1428.MP4,20240729T081221_1428,0.0,30.0,first_30_seconds_predeclared_not_best_segment,16ae35a93a82720d2112be55b21d5b1ba1aeeaa6a9b20f7d4695f9eab3a5f903
jiufu_6d14fba7168351_first30,jiufu_6d14fba7168351,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081505A1021142.MP4,20240729T081505_A1021142,0.0,30.0,first_30_seconds_predeclared_not_best_segment,6df58bbf81b3b2a8c057bf9f3d85dd7762b35bb788c55bb1289164273cc1397d
jiufu_c5ff3e35124405_first30,jiufu_c5ff3e35124405,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081638-1408.MP4,20240729T081638_1408,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5f1986042904dbdf9380291f9cc3ff27f81dcb47b3585e683f337f3f1598957b
jiufu_a6ed80c55f7be6_first30,jiufu_a6ed80c55f7be6,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081830-1436.MP4,20240729T081830_1436,0.0,30.0,first_30_seconds_predeclared_not_best_segment,87f98f16d92411f9ec3932cc1c56eb8177871c91884d772c077cefa5b7bfbbf6
jiufu_6fa0bbd661c8bb_first30,jiufu_6fa0bbd661c8bb,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082631-1423.MP4,20240729T082631_1423,0.0,30.0,first_30_seconds_predeclared_not_best_segment,19869a109261d7003bcb7f6c52fa10c69ce762ab7d7ab9de64bac0f8ad2de90c
jiufu_58da0349ace78c_first30,jiufu_58da0349ace78c,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082946-1601.MP4,20240729T082946_1601,0.0,30.0,first_30_seconds_predeclared_not_best_segment,7ecb65d359b9d1e6a2812d209f14501e00d0e06bcc4caf2f7f45b3de9a621b60
jiufu_9eb853207f9233_first30,jiufu_9eb853207f9233,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083424-640.MP4,20240729T083424_640,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5f640d73222415d65f62c5ef69dbd259fb3facba8913809dfb3467622bbd27d5
jiufu_8c114c09325c47_first30,jiufu_8c114c09325c47,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083719-1574.MP4,20240729T083719_1574,0.0,30.0,first_30_seconds_predeclared_not_best_segment,94c9cf88445966d0473c5d1edb581812c7149ce267fa39fc13e41ed666c8b1a3
jiufu_494e84a71f0d53_first30,jiufu_494e84a71f0d53,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083924-1268.MP4,20240729T083924_1268,0.0,30.0,first_30_seconds_predeclared_not_best_segment,fff8c9eb57c60191b7765968fa683a4b2ea768bcf58a79a44fe4c19abb55f390
jiufu_ce59136a4ecc21_first30,jiufu_ce59136a4ecc21,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T084037-1479.MP4,20240729T084037_1479,0.0,30.0,first_30_seconds_predeclared_not_best_segment,b8ef769d315d38a3369aeb4123416c7e59df9e5b6bf87ede76218c30b2c073c4
jiufu_8953d49083882b_first30,jiufu_8953d49083882b,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084011-1150.MP4,20240730T084011_1150,0.0,30.0,first_30_seconds_predeclared_not_best_segment,6eba26ae3e834ce38938d97033bc45686421a1671fa5ba16b27900f4c3e75a70
jiufu_5eaab17afa3dcc_first30,jiufu_5eaab17afa3dcc,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084144-1644.MP4,20240730T084144_1644,0.0,30.0,first_30_seconds_predeclared_not_best_segment,677f062554a2039fa92c467e2189f2aba2e27c73558e1793ebd6e4b339f1a8c6
jiufu_577eb87b4ec0fa_first30,jiufu_577eb87b4ec0fa,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T090832-1442.MP4,20240730T090832_1442,0.0,30.0,first_30_seconds_predeclared_not_best_segment,404a2582d16221a6c8b04a2d297f883d49629198586e9d76c338f8464f215d76
jiufu_ac7d209f2a6aec_first30,jiufu_ac7d209f2a6aec,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T091037-214.MP4,20240730T091037_214,0.0,30.0,first_30_seconds_predeclared_not_best_segment,0ccdadd1dfbc57ca62eeca0d4d80aefb52a8a787b565f6e6feac1729ea2274be
jiufu_f0f7415c6e495e_first30,jiufu_f0f7415c6e495e,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105437-1308.MP4,20240730T105437_1308,0.0,30.0,first_30_seconds_predeclared_not_best_segment,9b1e4bb386f7be4d95a3ae12f8871b320c875ff25a0e3e0733d0a0958ce06aa4
jiufu_45e262858c1edf_first30,jiufu_45e262858c1edf,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105821-1146.MP4,20240730T105821_1146,0.0,30.0,first_30_seconds_predeclared_not_best_segment,dc0d3824f691a0a438a265f86921748cedfc192d8771abf56f2070830e30784e
jiufu_59f7f9462f2c30_first30,jiufu_59f7f9462f2c30,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105955-165.MP4,20240730T105955_165,0.0,30.0,first_30_seconds_predeclared_not_best_segment,03203c1682e578c129a9b7e0c73861c8083c0405e6c93e3286ada8d9dda3778a
jiufu_1f327de387886e_first30,jiufu_1f327de387886e,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110201-1371.MP4,20240730T110201_1371,0.0,30.0,first_30_seconds_predeclared_not_best_segment,f079e46859baed62ef3755ede28be59f49e22cc01b772f7cbf2c585d7378c350
jiufu_6454a9e613172b_first30,jiufu_6454a9e613172b,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110405-A1022182.MP4,20240730T110405_A1022182,0.0,30.0,first_30_seconds_predeclared_not_best_segment,cd42a08b06657376e33c121e94224b851aa6c8c34666e563fcd4de4c97103d8d
jiufu_6328167f32f25e_first30,jiufu_6328167f32f25e,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T114908-1371.MP4,20240730T114908_1371,0.0,30.0,first_30_seconds_predeclared_not_best_segment,7797555a60d55d3a42690bcddd6ca5d8ad8f05c4ec3497003335c8661adfc9c6
jiufu_80fa8dbe195b66_first30,jiufu_80fa8dbe195b66,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115158-353.MP4,20240730T115158_353,0.0,30.0,first_30_seconds_predeclared_not_best_segment,30b5a175b84cce57b2ab01939d22669c8aa0d19c595112c870458877d3b665e1
jiufu_012d9efb7d8d4c_first30,jiufu_012d9efb7d8d4c,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115451-1213.MP4,20240730T115451_1213,0.0,30.0,first_30_seconds_predeclared_not_best_segment,eee8592d2f6f803d58d01c1896824e1d3c83f30c4adcb9259038640c57bc19a4
jiufu_ce6835d13f136d_first30,jiufu_ce6835d13f136d,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115945-1414.MP4,20240730T115945_1414,0.0,30.0,first_30_seconds_predeclared_not_best_segment,2b9a918382a53d3332c07e23693fbce6410d2170e5013fe1afe5c4b605470c1c
jiufu_5623dc263f1364_first30,jiufu_5623dc263f1364,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120407-872.MP4,20240730T120407_872,0.0,30.0,first_30_seconds_predeclared_not_best_segment,2d35fa9401c7108159a3f2392680d2c346495efa91f93f8a7ace002274ba728d
jiufu_8254fd394c755d_first30,jiufu_8254fd394c755d,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120953-1180.MP4,20240730T120953_1180,0.0,30.0,first_30_seconds_predeclared_not_best_segment,fa432eca5029f2050920d048d27a20de53148d3c47ec87f1330035dafd0f5fc7
jiufu_33ff2c90bde0a7_first30,jiufu_33ff2c90bde0a7,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,20240730T121220_872,0.0,30.0,first_30_seconds_predeclared_not_best_segment,75d3c04d4eec42c9f8461ba8490adb97299195d95709e7cf361a9300cdd6bb98
jiufu_c37db5cf8c7d4e_first30,jiufu_c37db5cf8c7d4e,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121453-1165.MP4,20240730T121453_1165,0.0,30.0,first_30_seconds_predeclared_not_best_segment,5aaf1121bb6501be00fe1b496c67b11ef415144be28c9878399bfa1116300316
jiufu_3f44e994a4ccb7_first30,jiufu_3f44e994a4ccb7,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T122439-1145.MP4,20240730T122439_1145,0.0,30.0,first_30_seconds_predeclared_not_best_segment,b3b6d6c0c3c4f97f62c9a016982f6adc61fb5cea58f745c23c440239ca17a39c
jiufu_58a951a34f7249_first30,jiufu_58a951a34f7249,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085430-A1022182.MP4,20240731T085430_A1022182,0.0,30.0,first_30_seconds_predeclared_not_best_segment,2dcb01b5096890466b058e1f4e3dd77b196ab56f4070d8a3dbd880a02110e005
jiufu_8ac17622997976_first30,jiufu_8ac17622997976,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085718-1408.MP4,20240731T085718_1408,0.0,30.0,first_30_seconds_predeclared_not_best_segment,f24c9144bd1172469bdf69ae8dd7d89007d6141af220f9a27eff7aaa9b6a0979
jiufu_ee2427b1f91c14_first30,jiufu_ee2427b1f91c14,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085932-1428.MP4,20240731T085932_1428,0.0,30.0,first_30_seconds_predeclared_not_best_segment,45eadb1c2f7eae8f9306b5e8ec2dd062005766d5c3828d652352ad997893191b
jiufu_d40d50640e24a1_first30,jiufu_d40d50640e24a1,jiufu,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090206-165.MP4,20240731T090206_165,0.0,30.0,first_30_seconds_predeclared_not_best_segment,bbb80dd98ba43801be2e77eb288aef723f2aed6192784ff070a01aa99f8effcf
