file_id,source_path,date_from_name,cow_token_unverified,session_token,include_in_test,yolo_training_exposure,yolo_exposure_evidence,rr_tuning_exposure,rr_result_viewing_exposure,cow_identity_verified,verified_cow_id,modality_verified,duplicate_identity_reviewed,reviewer,review_date,notes,exposure_evidence
jiufu_0ef3b83bc00130,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081221-1428.MP4,20240729,1428,20240729T081221_1428,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_6d14fba7168351,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081505A1021142.MP4,20240729,A1021142,20240729T081505_A1021142,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_c5ff3e35124405,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081638-1408.MP4,20240729,1408,20240729T081638_1408,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_a6ed80c55f7be6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T081830-1436.MP4,20240729,1436,20240729T081830_1436,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_6fa0bbd661c8bb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082631-1423.MP4,20240729,1423,20240729T082631_1423,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_58da0349ace78c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T082946-1601.MP4,20240729,1601,20240729T082946_1601,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_9eb853207f9233,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083424-640.MP4,20240729,640,20240729T083424_640,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_8c114c09325c47,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083719-1574.MP4,20240729,1574,20240729T083719_1574,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_494e84a71f0d53,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T083924-1268.MP4,20240729,1268,20240729T083924_1268,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_ce59136a4ecc21,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T084037-1479.MP4,20240729,1479,20240729T084037_1479,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_8953d49083882b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084011-1150.MP4,20240730,1150,20240730T084011_1150,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_5eaab17afa3dcc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T084144-1644.MP4,20240730,1644,20240730T084144_1644,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_577eb87b4ec0fa,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T090832-1442.MP4,20240730,1442,20240730T090832_1442,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_ac7d209f2a6aec,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T091037-214.MP4,20240730,214,20240730T091037_214,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_f0f7415c6e495e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105437-1308.MP4,20240730,1308,20240730T105437_1308,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_45e262858c1edf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105821-1146.MP4,20240730,1146,20240730T105821_1146,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_59f7f9462f2c30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T105955-165.MP4,20240730,165,20240730T105955_165,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_1f327de387886e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110201-1371.MP4,20240730,1371,20240730T110201_1371,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_6454a9e613172b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T110405-A1022182.MP4,20240730,A1022182,20240730T110405_A1022182,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_6328167f32f25e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T114908-1371.MP4,20240730,1371,20240730T114908_1371,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_80fa8dbe195b66,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115158-353.MP4,20240730,353,20240730T115158_353,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_012d9efb7d8d4c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115451-1213.MP4,20240730,1213,20240730T115451_1213,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_ce6835d13f136d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T115945-1414.MP4,20240730,1414,20240730T115945_1414,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_5623dc263f1364,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120407-872.MP4,20240730,872,20240730T120407_872,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_8254fd394c755d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T120953-1180.MP4,20240730,1180,20240730T120953_1180,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_33ff2c90bde0a7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121220-872.MP4,20240730,872,20240730T121220_872,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_c37db5cf8c7d4e,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T121453-1165.MP4,20240730,1165,20240730T121453_1165,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_3f44e994a4ccb7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0730\20240730T122439-1145.MP4,20240730,1145,20240730T122439_1145,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_58a951a34f7249,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085430-A1022182.MP4,20240731,A1022182,20240731T085430_A1022182,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_8ac17622997976,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085718-1408.MP4,20240731,1408,20240731T085718_1408,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_ee2427b1f91c14,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T085932-1428.MP4,20240731,1428,20240731T085932_1428,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_d40d50640e24a1,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090206-165.MP4,20240731,165,20240731T090206_165,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_e20abde4e3a043,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090617-1422.MP4,20240731,1422,20240731T090617_1422,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
jiufu_6c914b8beaa069,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0731\20240731T090931-1308.MP4,20240731,1308,20240731T090931_1308,,no,user_confirmed_20260909,no,no,,,,,,,Exposure confirmed by user; cow identity/modality/duplicate relationship still separate review,user_explicit_reply_20260909_all_no_for_these_271_candidates
