file_id,source_path,date_from_name,cow_token_unverified,session_token,include_in_test,yolo_training_exposure,yolo_exposure_evidence,rr_tuning_exposure,rr_result_viewing_exposure,cow_identity_verified,verified_cow_id,modality_verified,duplicate_identity_reviewed,reviewer,review_date,notes,exposure_evidence,modality_verification_basis
jiufu_336c6a37c1e8bf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T084330-1479.MP4,20240729,1479,20240729T084330_1479,yes,no,user_confirmed_20260909,no,no,yes,1479,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_c95ae69597cc50,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,20240729,1279,20240729T095351_1279,yes,no,user_confirmed_20260909,no,no,yes,1279,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_94796ccea127be,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,20240729,989,20240729T095542_989,yes,no,user_confirmed_20260909,no,no,yes,989,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_56e83ecf9a14bb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095754-1574.MP4,20240729,1574,20240729T095754_1574,yes,no,user_confirmed_20260909,no,no,yes,1574,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_3cbd345626f05c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100519-161.MP4,20240729,161,20240729T100519_161,yes,no,user_confirmed_20260909,no,no,yes,161,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_3ac83315834f77,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,20240729,713,20240729T100915_713,yes,no,user_confirmed_20260909,no,no,yes,713,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_c68c62cb67dede,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,20240729,623,20240729T101454_623,yes,no,user_confirmed_20260909,no,no,yes,623,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_3721f7cf5a844c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,20240729,653,20240729T101712_653,yes,no,user_confirmed_20260909,no,no,yes,653,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_65b745e540b8c7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,20240729,281,20240729T101932_281,yes,no,user_confirmed_20260909,no,no,yes,281,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_2e919f7b4ce7d4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,20240729,353,20240729T102206_353,yes,no,user_confirmed_20260909,no,no,yes,353,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_f7266533e3399d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,20240729,558,20240729T102521_558,yes,no,user_confirmed_20260909,no,no,yes,558,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_943fc8675c704c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102849-347.MP4,20240729,347,20240729T102849_347,yes,no,user_confirmed_20260909,no,no,yes,347,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_bd77cfa7950eaa,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,20240729,743,20240729T133223_743,yes,no,user_confirmed_20260909,no,no,yes,743,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_2aaced556ff39d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133413-957.MP4,20240729,957,20240729T133413_957,yes,no,user_confirmed_20260909,no,no,yes,957,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_90ed4ac916a295,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,20240729,179,20240729T133635_179,yes,no,user_confirmed_20260909,no,no,yes,179,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_cd5eea76388f30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,20240729,728,20240729T133817_728,yes,no,user_confirmed_20260909,no,no,yes,728,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_6cbcb0311b3ebf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,20240729,956,20240729T134035_956,yes,no,user_confirmed_20260909,no,no,yes,956,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_4f7144680fca9d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,20240729,583,20240729T134435_583,yes,no,user_confirmed_20260909,no,no,yes,583,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_6a641dd078f572,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134713-753.MP4,20240729,753,20240729T134713_753,yes,no,user_confirmed_20260909,no,no,yes,753,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_edd9eebe6de991,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134930-943.MP4,20240729,943,20240729T134930_943,yes,no,user_confirmed_20260909,no,no,yes,943,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_58c38973aff558,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135104-771.MP4,20240729,771,20240729T135104_771,yes,no,user_confirmed_20260909,no,no,yes,771,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_665326590feedb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135221-447.MP4,20240729,447,20240729T135221_447,yes,no,user_confirmed_20260909,no,no,yes,447,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_053d6bd561c20b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135554-1838.MP4,20240729,1838,20240729T135554_1838,yes,no,user_confirmed_20260909,no,no,yes,1838,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_9a14e05c1c184c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T135926-728.MP4,20240729,728,20240729T135926_728,yes,no,user_confirmed_20260909,no,no,yes,728,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_124bf365605cd6,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140349-1299.MP4,20240729,1299,20240729T140349_1299,yes,no,user_confirmed_20260909,no,no,yes,1299,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_cc565ea0bfa396,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T140619-1246.MP4,20240729,1246,20240729T140619_1246,yes,no,user_confirmed_20260909,no,no,yes,1246,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_0a14da4ad52431,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T142101-1134.MP4,20240729,1134,20240729T142101_1134,yes,no,user_confirmed_20260909,no,no,yes,1134,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
jiufu_abada3dda3e8b7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\温度区间设置为18-36\20240729T080938-846.MP4,20240729,846,20240729T080938_846,yes,no,user_confirmed_20260909,no,no,yes,846,thermal,yes,user_naming_and_exposure_confirmation_plus_automated_manifest_audit,2026-09-09,Cow labels confirmed by user; thermal filename/geometry stratum; full-file hashes unique; known development cow/session exclusion; no framewise identity or semantic-near-duplicate guarantee,user_explicit_reply_20260909_all_no_for_these_271_candidates,provided_thermal_dataset_filename_pattern_and_1080x1440_metadata_not_visual_review
